# lambda(nm)  coeff spline
 1088.000 0.00018981    -3.0101e-04
 1089.000 0.00013142     3.6088e-04
 1090.000 0.00018934    -4.4466e-04
 1091.000 0.00008751     4.5925e-04
 1092.000 0.00017704    -2.4419e-04
 1093.000 0.00017299    -4.3988e-05
 1094.000 0.00014316     2.6546e-04
 1095.000 0.00022718    -3.3474e-04
 1096.000 0.00016892     2.1982e-04
 1097.000 0.00016773    -2.0213e-04
 1098.000 0.00011838     2.9975e-04
 1099.000 0.00019285    -2.5395e-04
 1100.000 0.00015160     2.1717e-05
 1101.000 0.00011391     1.8844e-04
 1102.000 0.00016102    -2.6667e-04
 1103.000 0.00010148     2.3833e-04
 1104.000 0.00014079    -9.3540e-05
 1105.000 0.00014712    -6.2048e-05
 1106.000 0.00011933     1.3701e-04
 1107.000 0.00014423    -1.6986e-04
 1108.000 0.00010295     1.4533e-04
 1109.000 0.00013165     8.4143e-06
 1110.000 0.00016735    -1.3699e-04
 1111.000 0.00013459     1.2877e-04
 1112.000 0.00014389    -1.2575e-04
 1113.000 0.00011294     1.3274e-04
 1114.000 0.00014409    -3.2588e-05
 1115.000 0.00017133    -2.5844e-05
 1116.000 0.00017289    -1.8116e-05
 1117.000 0.00014861    -5.6732e-05
 1118.000 0.00010978     1.5774e-04
 1119.000 0.00014423    -1.3457e-04
 1120.000 0.00013302     1.0657e-04
 1121.000 0.00014671    -1.4230e-04
 1122.000 0.00010171     1.1047e-04
 1123.000 0.00011357     4.1556e-05
 1124.000 0.00015613    -9.2500e-05
 1125.000 0.00014749     2.1244e-05
 1126.000 0.00013126    -3.8015e-05
 1127.000 0.00011808     1.4911e-04
 1128.000 0.00017726    -1.2428e-04
 1129.000 0.00016899    -5.6683e-05
 1130.000 0.00013570     2.0089e-04
 1131.000 0.00018171    -2.7109e-04
 1132.000 0.00011801     2.2522e-04
 1133.000 0.00013858    -1.2416e-04
 1134.000 0.00013447     1.2335e-04
 1135.000 0.00017917    -7.6381e-05
 1136.000 0.00017308    -1.2257e-04
 1137.000 0.00010060     1.6831e-04
 1138.000 0.00011054    -5.6164e-05
 1139.000 0.00012232     6.7384e-05
 1140.000 0.00014627    -1.4035e-04
 1141.000 0.00010611     1.0936e-04
 1142.000 0.00013114     9.4064e-05
 1143.000 0.00019795    -2.3493e-04
 1144.000 0.00014808     1.4558e-04
 1145.000 0.00014852    -4.5543e-05
 1146.000 0.00015995     1.0253e-04
 1147.000 0.00019782    -2.0592e-04
 1148.000 0.00014334     1.6707e-04
 1149.000 0.00015234    -8.1471e-05
 1150.000 0.00011842    -9.8705e-05
 1151.000 0.00005512     3.0001e-04
 1152.000 0.00013887    -2.1903e-04
 1153.000 0.00013050     2.3399e-05
 1154.000 0.00011791     1.0011e-04
 1155.000 0.00014404    -1.9154e-04
 1156.000 0.00011423     3.3040e-04
 1157.000 0.00021560    -3.4298e-04
 1158.000 0.00014375     2.1996e-06
 1159.000 0.00007188     3.3406e-04
 1160.000 0.00016900    -3.2450e-04
 1161.000 0.00013513     1.7802e-04
 1162.000 0.00013930    -1.5932e-04
 1163.000 0.00010969     2.5659e-04
 1164.000 0.00016449    -3.6058e-04
 1165.000 0.00008439     3.7634e-04
 1166.000 0.00015188    -2.5923e-04
 1167.000 0.00013499     1.5431e-04
 1168.000 0.00015188    -1.5534e-04
 1169.000 0.00011392     1.3795e-04
 1170.000 0.00014344     8.4309e-06
 1171.000 0.00017301    -1.7137e-04
 1172.000 0.00013083     2.4655e-04
 1173.000 0.00018145    -2.5804e-04
 1174.000 0.00013088     1.7846e-04
 1175.000 0.00014775    -5.1169e-05
 1176.000 0.00015200    -4.9506e-05
 1177.000 0.00012249     4.6635e-05
 1178.000 0.00014364     1.6693e-04
 1179.000 0.00023239    -3.0875e-04
 1180.000 0.00017301     1.7928e-04
 1181.000 0.00016439    -1.0381e-04
 1182.000 0.00013105     8.7636e-05
 1183.000 0.00012613    -7.6215e-05
 1184.000 0.00010560     1.2356e-04
 1185.000 0.00015559     5.0855e-06
 1186.000 0.00019840    -1.8698e-04
 1187.000 0.00013468     1.0367e-04
 1188.000 0.00011013     7.3215e-06
 1189.000 0.00012240     8.7963e-05
 1190.000 0.00016849    -1.5626e-04
 1191.000 0.00012216    -1.7463e-05
 1192.000 0.00007583     2.2611e-04
 1193.000 0.00014329    -2.0422e-04
 1194.000 0.00012233     6.0260e-05
 1195.000 0.00012635     1.1306e-04
 1196.000 0.00018088    -2.0944e-04
 1197.000 0.00014324     1.7170e-04
 1198.000 0.00015465    -1.8304e-04
 1199.000 0.00011049     2.2706e-04
 1200.000 0.00015587    -1.8795e-04
 1201.000 0.00013838     1.4752e-04
 1202.000 0.00015645    -1.8877e-04
 1203.000 0.00011002     2.2055e-04
 1204.000 0.00015634    -1.3695e-04
 1205.000 0.00015618     4.8368e-05
 1206.000 0.00014797    -1.0482e-04
 1207.000 0.00009697     1.1418e-04
 1208.000 0.00011429     5.8036e-05
 1209.000 0.00017365    -9.4082e-05
 1210.000 0.00018147     9.0508e-06
 1211.000 0.00018565     3.6039e-05
 1212.000 0.00017292    -2.5467e-04
 1213.000 0.00007583     4.7646e-04
 1214.000 0.00017700    -4.6163e-04
 1215.000 0.00010104     3.0727e-04
 1216.000 0.00012633    -1.5996e-04
 1217.000 0.00011788     1.3013e-04
 1218.000 0.00014730    -1.3332e-04
 1219.000 0.00013047     1.2566e-04
 1220.000 0.00015573    -1.1679e-04
 1221.000 0.00013459     6.3097e-05
 1222.000 0.00012620    -5.9096e-05
 1223.000 0.00010507     9.6849e-05
 1224.000 0.00014724     5.1502e-05
 1225.000 0.00019771    -2.5306e-04
 1226.000 0.00012613     2.2843e-04
 1227.000 0.00014715    -1.0505e-04
 1228.000 0.00014292     4.0275e-05
 1229.000 0.00014715    -5.2893e-06
 1230.000 0.00015134    -1.9358e-05
 1231.000 0.00014295     7.2400e-06
 1232.000 0.00013880     1.5838e-05
 1233.000 0.00014272    -2.2171e-05
 1234.000 0.00013038    -2.4715e-05
 1235.000 0.00011778     1.1947e-04
 1236.000 0.00015142    -1.7573e-04
 1237.000 0.00013039     2.5542e-04
 1238.000 0.00018506    -3.9175e-04
 1239.000 0.00009257     4.2863e-04
 1240.000 0.00018084    -2.3820e-04
 1241.000 0.00017243    -5.5901e-05
 1242.000 0.00010519     1.0883e-04
 1243.000 0.00011343     7.3471e-05
 1244.000 0.00016372    -1.5041e-04
 1245.000 0.00013424     4.9555e-05
 1246.000 0.00011748     2.8513e-05
 1247.000 0.00013436     3.8232e-05
 1248.000 0.00015527    -1.5726e-04
 1249.000 0.00012187     2.6496e-04
 1250.000 0.00018502    -3.2328e-04
 1251.000 0.00010940     1.9552e-04
 1252.000 0.00012164     6.8346e-05
 1253.000 0.00017625    -2.1469e-04
 1254.000 0.00012589     1.6059e-04
 1255.000 0.00013011    -1.0017e-04
 1256.000 0.00010902     8.8249e-05
 1257.000 0.00011708    -7.7921e-05
 1258.000 0.00011321     1.5185e-04
 1259.000 0.00016355    -2.0423e-04
 1260.000 0.00013063     1.6553e-04
 1261.000 0.00015499    -1.1419e-04
 1262.000 0.00012599    -2.8936e-05
 1263.000 0.00009541     2.2045e-04
 1264.000 0.00017219    -2.0871e-04
 1265.000 0.00015403     4.4742e-05
 1266.000 0.00013470     2.2720e-05
 1267.000 0.00014990     7.1559e-05
 1268.000 0.00020183    -8.8577e-05
 1269.000 0.00018856    -1.0845e-04
 1270.000 0.00010411     9.5296e-05
 1271.000 0.00009252     1.6443e-04
