Lick_bg_nearIR	Lick_bg_nearIR
Infrared	Infrared
nm	nm
	
1022.9401	11.804952
1023.04	2.786107
1023.14	2.785795
1023.2401	2.816699
1023.34	56.688484
1023.4401	3.074277
1023.54	2.779421
1023.64	2.783819
1023.7401	2.781512
1023.84	2.773579
1023.9401	2.775481
1024.04	2.772751
1024.14	2.782175
1024.24	2.781813
1024.34	2.781451
1024.4399	2.781089
1024.54	2.780727
1024.64	2.780365
1024.74	2.780004
1024.84	2.779641
1024.9399	2.779048
1025.04	2.778917
1025.14	2.778556
1025.24	2.777259
1025.34	2.776705
1025.4399	2.777472
1025.54	2.77711
1025.64	2.776747
1025.74	2.774023
1025.84	2.775035
1025.9399	2.775663
1026.04	2.775301
1026.14	2.77494
1026.24	2.773723
1026.34	2.772122
1026.4399	2.773831
1026.54	2.79741
1026.64	2.805728
1026.74	2.773078
1026.84	2.772411
1026.9399	2.772049
1027.04	2.771693
1027.14	2.771328
1027.24	2.771581
1027.34	7.639168
1027.4399	7.644451
1027.54	2.763524
1027.64	2.767339
1027.74	2.768836
1027.84	2.768798
1027.9399	2.768832
1028.04	2.77001
1028.14	2.769496
1028.24	2.767354
1028.34	2.766993
1028.4399	2.766632
1028.54	2.765917
1028.64	2.762376
1028.74	43.927513
1028.84	8.758847
1028.9399	408.564148
1029.04	5.545456
1029.14	2.764107
1029.24	2.763746
1029.34	2.763384
1029.4399	2.816065
1029.54	15.536377
1029.64	2.770592
1029.74	2.761943
1029.84	88.645454
1029.9399	56.494598
1030.04	2.759924
1030.14	2.760499
1030.24	2.760139
1030.34	2.759779
1030.4399	2.759418
1030.54	2.759058
1030.64	2.758698
1030.74	3.475953
1030.84	6.992354
1030.9399	2.756968
1031.04	2.757218
1031.14	3.04748
1031.24	48.008541
1031.34	2.790245
1031.4399	2.753516
1031.54	2.754644
1031.64	2.755095
1031.74	2.754735
1031.84	2.754375
1031.9399	2.754015
1032.04	2.753655
1032.14	2.753295
1032.24	2.752935
1032.34	2.752575
1032.4399	2.75224
1032.54	4.390974
1032.64	2.826567
1032.74	2.751136
1032.84	2.750776
1032.9399	4.173606
1033.04	14.125554
1033.14	2.749853
1033.24	2.749336
1033.34	2.748489
1033.4399	2.748085
1033.54	2.748258
1033.64	2.748033
1033.74	2.747562
1033.84	2.747179
1033.9399	2.746819
1034.04	2.746459
1034.14	2.746233
1034.24	4.948031
1034.34	4.586492
1034.4399	2.748606
1034.54	2.744663
1034.64	2.744303
1034.74	3.065282
1034.84	2.909915
1034.9399	11.430881
