#wavelength (nm)	Transmission (fraction)
1721.72	0.843116
1723.11	0.842195
1723.82	0.838457
1724.75	0.837063
1725.91	0.83848
1726.61	0.836615
1728.24	0.835229
1729.18	0.831961
1730.11	0.830099
1731.04	0.828704
1732.44	0.827784
1734.06	0.827802
1734.07	0.824056
1736.63	0.821743
1737.57	0.820349
1738.73	0.818489
1741.06	0.817579
1741.76	0.814777
1743.39	0.812922
1745.02	0.811067
1745.72	0.809671
1747.35	0.809689
1748.74	0.807831
1750.14	0.808315
1751.76	0.807865
1752.69	0.806471
1753.38	0.80882
1754.55	0.806492
1755.02	0.805092
1755.95	0.804166
1756.17	0.807447
1757.33	0.808396
1757.32	0.810737
1758.49	0.809346
1759.65	0.808891
1760.35	0.807494
1761.28	0.807504
1761.74	0.809851
1762.19	0.812197
1768.9	0.823511
1764.05	0.813623
1765.44	0.815511
1767.75	0.818347
1768.21	0.820693
1768.9	0.823511
1770.05	0.826801
1771.44	0.824944
1773.07	0.826367
1773.29	0.828243
1775.62	0.825928
1775.85	0.828271
1777	0.831562
1777.47	0.827353
1778.87	0.825964
1779.33	0.827842
1780.96	0.824583
1781.44	0.82131
1782.37	0.818979
1782.85	0.81477
1784.02	0.809633
1785.2	0.802622
1786.62	0.794209
1788.05	0.779709
1789.25	0.767079
1790.67	0.754452
1791.64	0.739478
1792.38	0.724034
1793.34	0.714211
1794.07	0.701108
1794.1	0.691743
1794.6	0.679105
1795.57	0.662727
1796.55	0.644007
1797.06	0.625751
1798.77	0.596737
1799.05	0.580351
1800.74	0.556489
1801.48	0.538703
1802.73	0.507343
1803.96	0.481134
1804.98	0.450708
1805.02	0.435256
1806.71	0.411393
1807.48	0.382838
1808.7	0.36178
1809.23	0.338841
1809.72	0.329012
1811.16	0.313108
1811.44	0.296721
1813.11	0.278946
1813.85	0.26397
1814.14	0.241496
1814.87	0.231671
1816.05	0.22466
1816.57	0.204531
1816.77	0.215303
1817.98	0.196118
1818.24	0.187224
1819.0	0.163351
1819.2	0.175996
1820.18	0.155403
1821.59	0.1498
1821.84	0.142311
1822.55	0.137168
1823.5	0.130154
1824.45	0.123609
1824.93	0.116122
1825.21	0.100204
1826.78	0.119421
1827.08	0.0955428
1828.48	0.092749
1828.51	0.0810427
1828.73	0.0857278
1829.0	0.0735559
1829.92	0.0749711
1830.87	0.0688943
1832.01	0.0768676
1832.96	0.0679812
1833.69	0.056751
1833.94	0.0506664
1835.11	0.0445921
1836.92	0.0624066
1837.42	0.0483642
1837.92	0.0375997
1839.27	0.0511946
1839.31	0.0394883
1840.05	0.0217026
1841.39	0.0409166
1842.34	0.033435
1843.94	0.0409453
1844.67	0.0292468
1845.65	0.0109954
1847.69	0.0283442
1849.13	0.0129076
1850.0	0.0330528
1850.02	0.0334151
1851.07	0.0366346
1851.1	0.028625
1853.76	0.028664
1854.26	0.0372153
1854.78	0.039359
1856.39	0.0351107
1857.7	0.0404698
1858.75	0.0447572
1859.05	0.0346157
1860.61	0.0447845
1861.41	0.0437282
1862.16	0.0549532
1864.85	0.0459148
1865.36	0.0528642
1866.41	0.0555496
1866.66	0.0592913
1867.75	0.0534332
1868.79	0.0593225
1869.29	0.0657379
1870.1	0.0630798
1870.88	0.0678972
1871.66	0.0716466
1872.22	0.0657808
1873.26	0.0706021
1873.78	0.0732797
1874.31	0.0748894
1875.36	0.0786428
1875.86	0.0855922
1876.68	0.0797302
1877.19	0.0845438
1877.71	0.0882893
1879.29	0.0931184
1880.34	0.0968718
1881.65	0.100095
1883.49	0.107598
1884.53	0.112419
1885.3	0.119906
1886.88	0.124736
1887.91	0.131693
1889.2	0.142392
1891.32	0.145093
1891.53	0.15898
1893.12	0.161139
1893.33	0.174492
1895.19	0.176655
1895.67	0.189478
1896.98	0.193769
1898.25	0.210876
1899.57	0.213565
1900.3	0.232266
1901.61	0.236023
1902.08	0.253652
1904.19	0.257421
1904.65	0.276117
1905.97	0.279875
1907.21	0.303389
1908.26	0.306074
1908.72	0.327441
1909.77	0.328524
1911.27	0.354178
1912.32	0.357931
1913.55	0.385183
1914.34	0.387331
1915.85	0.411383
1917.43	0.413542
1918.13	0.439718
1919.45	0.442941
1920.43	0.466452
1922.27	0.470217
1922.98	0.495325
1924.02	0.500146
1925.02	0.518851
1926.33	0.523142
1927.32	0.542914
1929.7	0.545619
1929.38	0.5611
1930.95	0.566463
1931.95	0.584634
1933.52	0.592667
1933.73	0.605486
1935.31	0.609781
1935.8	0.622604
1937.65	0.624767
1938.13	0.63759
1939.72	0.639216
1940.49	0.646703
1941.54	0.651524
1942.02	0.663813
1944.4	0.665984
1944.38	0.671858
1944.88	0.680409
1946.24	0.671351
1946.98	0.686848
1948.34	0.679926
1948.83	0.691147
1950.45	0.684763
1950.67	0.695446
1951.17	0.705065
1952.56	0.687464
1954.08	0.707244
1955.2	0.692308
1956.18	0.713683
1957.3	0.698213
1958.04	0.713176
1959.67	0.703588
1960.43	0.715881
1962.05	0.706827
1962.8	0.721256
1963.64	0.708452
1964.91	0.724491
1966.03	0.709021
1967.3	0.724526
1968.69	0.708526
1969.42	0.725091
1970.8	0.710159
1971.81	0.726728
1972.93	0.711259
1974.18	0.731569
1975.56	0.716103
1976.32	0.727862
1977.7	0.713999
1978.97	0.727901
1979.81	0.7167
1980.82	0.7322
1981.93	0.717799
1983.46	0.735443
1984.58	0.720508
1985.31	0.737606
1986.68	0.725879
1987.97	0.738713
1988.83	0.721104
1989.82	0.740876
1990.94	0.725407
1992.19	0.744649
1993.32	0.727578
1994.86	0.742018
1995.98	0.726549
1996.98	0.744186
1998.09	0.72925
1999.35	0.749026
2000.47	0.733023
2001.48	0.748524
2002.86	0.73199
2004.39	0.750702
2005.5	0.736301
2006.51	0.752335
2007.89	0.737404
2009.15	0.755578
2010.28	0.737973
2011.27	0.758279
2012.66	0.740678
2013.65	0.759382
2015.32	0.738581
2016.05	0.757282
2017.69	0.743956
2018.96	0.761596
2019.82	0.744521
2021.07	0.765365
2022.73	0.746166
2023.2	0.764862
2024.85	0.748333
2025.85	0.765435
2027.51	0.74677
2028.23	0.767606
2029.9	0.747339
2030.61	0.769777
2032.02	0.749506
2033	0.770346
2034.67	0.750079
2035.93	0.767719
2037.07	0.748512
2038.32	0.768822
2039.98	0.750691
2040.97	0.769395
2042.38	0.749124
2043.36	0.771566
2044.76	0.750761
2045.75	0.771601
2047.4	0.756674
2048.12	0.775374
2050.06	0.752975
2050.53	0.77007
2052.46	0.752476
2052.93	0.769037
2054.86	0.749841
2055.58	0.770678
2057.24	0.750944
2058.23	0.770717
2059.89	0.754187
2060.63	0.770218
2062.02	0.753151
2063.28	0.769723
2064.67	0.752656
2065.4	0.770822
2066.8	0.752687
2067.81	0.766586
2069.46	0.751124
2070.72	0.768764
2072.11	0.752765
2073.1	0.772003
2074.77	0.75227
2076.05	0.764571
2077.16	0.752839
2078.44	0.765674
2079.55	0.751806
2080.83	0.766243
2081.96	0.747569
2083.22	0.764142
2084.6	0.749744
2085.62	0.761507
2086.73	0.749242
2088.27	0.763148
2089.66	0.748217
2090.93	0.762119
2092.05	0.748786
2093.32	0.763222
2094.71	0.747223
2095.97	0.763795
2097.36	0.748864
2098.37	0.763296
2099.23	0.745687
2100.76	0.762797
2102.15	0.74573
2102.89	0.761227
2104.53	0.747367
2105.81	0.761804
2107.2	0.744736
2108.47	0.759707
2109.86	0.744241
2110.61	0.769777
2112.02	0.749506
2113	0.770346
2114.67	0.750079
2115.93	0.767719
2117.07	0.748512
2118.32	0.768822
2119.98	0.750691
2120.97	0.769395
2122.38	0.749124
2123.36	0.771566
2124.76	0.750761
2125.75	0.771601
2127.4	0.756674
2128.12	0.775374
2130.06	0.752975
2130.53	0.77007
2132.46	0.752476
2132.93	0.769037
2134.86	0.749841
2135.58	0.770678
2137.24	0.750944
2138.23	0.770717
2139.89	0.754187
2140.63	0.770218
2142.02	0.753151
2143.28	0.769723
2144.67	0.752656
2145.4	0.770822
2146.8	0.752687
2147.81	0.766586
2149.46	0.751124
2150.72	0.768764
2152.11	0.752765
2153.1	0.772003
2154.77	0.75227
2156.05	0.764571
2157.16	0.752839
2158.44	0.765674
2159.55	0.751806
2160.83	0.766243
2161.96	0.747569
2163.22	0.764142
2164.6	0.749744
2165.62	0.761507
2166.73	0.749242
2168.27	0.763148
2169.66	0.748217
2170.93	0.762119
2172.05	0.748786
2173.32	0.763222
2174.71	0.747223
2175.97	0.763795
2177.36	0.748864
2178.37	0.763296
2179.23	0.745687
2180.76	0.762797
2182.15	0.74573
2182.89	0.761227
2184.53	0.747367
2185.81	0.761804
2187.2	0.744736
2188.47	0.759707
2189.86	0.744241
2190.87	0.758674
2192.24	0.746946
2193.52	0.759781
2194.89	0.747519
2195.92	0.758214
2197.82	0.747028
2199.11	0.756125
2200.21	0.745461
2200.96	0.75989
2202.61	0.744428
2203.62	0.758861
2205.53	0.743937
2206.55	0.756234
2207.91	0.746642
2209.46	0.757345
2210.57	0.746147
2212.11	0.758986
2213.23	0.744584
2214.79	0.752617
2216.42	0.744631
2217.45	0.753724
2218.55	0.743061
2219.57	0.753755
2221.45	0.747375
2222.22	0.75593
2223.86	0.743138
2225.14	0.754905
2226.51	0.744245
2227.81	0.752808
2229.18	0.740013
2229.95	0.749102
2231.57	0.739514
2233.13	0.749683
2234.23	0.740087
2234.99	0.750244
2236.63	0.737986
2237.65	0.748681
2239.3	0.734287
2240.57	0.74819
2241.94	0.73753
2243.51	0.743961
2244.61	0.734365
2245.9	0.743462
2247.27	0.731734
2248.83	0.742971
2250.19	0.734447
2251.75	0.743014
2253.13	0.728616
2254.41	0.740917
2255.26	0.727046
2257.35	0.735086
2258.98	0.726566
2260.81	0.733001
2261.37	0.725534
2262.41	0.733559
2264.29	0.726644
2265.87	0.73094
2267.5	0.721352
2268	0.728301
2270.15	0.720857
2271.47	0.725682
2273.09	0.716628
2274.39	0.723589
2275.22	0.716125
2277.06	0.720424
2278.4	0.716706
2279.46	0.718323
2281.34	0.711943
2282.37	0.722104
2284.01	0.708778
2285.57	0.717879
2287.19	0.710427
2288.23	0.717384
2289.59	0.709394
2291.42	0.715295
2292.77	0.709975
2294.35	0.714804
2295.44	0.706276
2297.01	0.712707
2298.9	0.704725
2299.39	0.714344
2301.28	0.707964
2302.59	0.712255
2303.68	0.704795
2305.52	0.71123
2306.35	0.700562
2307.39	0.706451
2309.79	0.703817
2310.83	0.709172
2312.72	0.70119
2314.29	0.707621
2315.12	0.700157
2316.42	0.707118
2317.77	0.701798
2319.62	0.704495
2320.97	0.697573
2322.53	0.706674
2323.88	0.699752
2325.73	0.704051
2326.81	0.699261
2328.38	0.704624
2329.2	0.69983
2330.77	0.704125
2332.39	0.698809
2333.96	0.704172
2335.57	0.698855
2337.68	0.704226
2339.03	0.698906
2339.8	0.705859
2341.43	0.695737
2342.72	0.704834
2344.33	0.700052
2345.37	0.708077
2347.51	0.703303
2348.56	0.70759
2349.64	0.702266
2350.95	0.707625
2353.88	0.703396
2354.91	0.711955
2356.55	0.701833
2357.31	0.711456
2359.2	0.701872
2361.04	0.707239
2362.65	0.703525
2363.42	0.711546
2365.31	0.70303
2367.14	0.708931
2367.98	0.699331
2369.82	0.70363
2371.17	0.697776
2372.21	0.702597
2374.64	0.692487
2375.69	0.696774
2377.32	0.686119
2379.16	0.692019
2380.29	0.673346
2381.61	0.676036
2383.52	0.661646
2384.31	0.662725
2390.35	0.608347
2391.41	0.60943
2391.73	0.593949
2395.02	0.565695
2396.17	0.54275
2396.72	0.535817
2398.13	0.515545
2399.77	0.500084
2400.93	0.475537
2401.76	0.464335
2402.31	0.460071
2403.71	0.440868
2404.29	0.426459
2405.13	0.414723
2406.5	0.402995
2407.1	0.385916
2407.68	0.370973
2409.33	0.356579
2410.21	0.332028
2412.69	0.309103
2414.36	0.2867
2415.5	0.264823
2417.47	0.236016
2418.81	0.232297
2420.23	0.207754
2421.61	0.191221
2424.07	0.173101
2426.27	0.152308
2426.3	0.144832
2427.63	0.143784
2429.28	0.128856
2430.63	0.120866
2431.46	0.1118
2432.27	0.11021
2434.43	0.0984939
2435.26	0.0904961
2437.14	0.0846498
2438.24	0.073986
2440.11	0.0724114
2440.39	0.0665417
2442.27	0.0628312
2443.35	0.0569732
2444.69	0.0543228
2445.51	0.047393
2447.09	0.0516881
2447.38	0.0436825
2448.7	0.0453039
2448.99	0.0410361
2451.1	0.0426692
2451.92	0.0378752
2453.26	0.0336229
2455.11	0.036854
2455.66	0.0315222
2457.25	0.0326135
2457.79	0.0288835
2459.13	0.0256992
2461.8	0.0236023
2463.13	0.0220199
2464.73	0.0215094
2466.58	0.0236725
2467.12	0.0204765
2468.99	0.017834
2470.06	0.0157137
2471.64	0.0205428
2472.45	0.0157488
2473.78	0.0141664
2475.38	0.0136559
2476.96	0.0168831
2478.3	0.0131648
2479.11	0.0110406
2480.42	0.0142639
2481.5	0.0110757
2482.57	0.00842151
2484.15	0.0132506
2484.43	0.00951674
2486.55	0.00954795
2488.68	0.00851121
2490.54	0.00747058
2491.86	0.00962595
2492.41	0.00589598
2493.46	0.00858141
2494	0.00591938
2495.6	0.00380691
2496.66	0.00542441
2497.99	0.00384201
2498.78	0.00705752
2500.38	0.00494505
2501.69	0.00816835
2502.51	0.00444228
2504.1	0.00339775
2505.96	0.00395902
2508.33	0.00826586
2509.15	0.00400582
2510.2	0.00722522
2511.81	0.000841016
2514.46	0.00461779
2517.65	0.00199475
2520.31	0.00203376
2522.96	0.00314069
2524.29	0.00209226
2525.9	0.000554177
2528.02	0.00107893
2529.33	0.00376826
2531.46	0.00379946
2532.8	0.00114913
2534.66	0.000108495
2536.24	0.00226777
2537.84	0.000689265
2539.69	0.00392037
2541.56	0.00127783
2543.42	0.00237307
2544.22	0.000782868
2546.87	0.00082187
2549	0.000748831
2550.04	0.00567438
2551.39	0.000179762
2553.78	0.000389307
2554.57	0.00253688
2555.64	0.000950575
2557.49	0.00204581
2559.09	0.00206921
2560.95	0.00156255
2563.34	0.00106368
2565.21	0.000510921
2566.23	0.00911609
2567.6	0.000475819
2569.46	0.000448518
2570.24	0.00383492
2571.57	0.00171855
2572.91	0.000931784
2574.76	0.00123139
2576.1	0.000884982
2577.39	0.0092799
2578.47	0.00288789
2580.88	0.000814779
2583.27	0.000779677
2584.58	0.00351156
2585.66	0.00181251
2587.78	0.00124734
2588.82	0.00570983
2590.43	0.000927529
2592.3	0.000647072
2594.96	0.00114204
2596.79	0.00582684
2597.07	0.00102503
2598.93	0.000518367
