# lambda(nm)  coeff spline
 1118.000 0.00015181     4.4804e-05
 1119.000 0.00011916     1.5821e-04
 1120.000 0.00017500    -1.4670e-04
 1121.000 0.00016349     2.4484e-05
 1122.000 0.00014830     2.6684e-05
 1123.000 0.00014319    -7.0738e-05
 1124.000 0.00012301     1.6585e-04
 1125.000 0.00016827    -2.0001e-04
 1126.000 0.00013958     1.9050e-04
 1127.000 0.00017724    -1.6390e-04
 1128.000 0.00016064     1.3953e-04
 1129.000 0.00016869    -2.4631e-04
 1130.000 0.00008482     2.9420e-04
 1131.000 0.00014790    -4.8798e-05
 1132.000 0.00018923    -2.2951e-04
 1133.000 0.00011386     2.6665e-04
 1134.000 0.00015605    -1.3171e-04
 1135.000 0.00015740     1.5149e-05
 1136.000 0.00015607     5.5032e-05
 1137.000 0.00017262    -1.2800e-04
 1138.000 0.00012319     6.1081e-05
 1139.000 0.00010528     7.2795e-05
 1140.000 0.00013789    -4.9139e-05
 1141.000 0.00013994    -5.9598e-05
 1142.000 0.00012686     1.9675e-04
 1143.000 0.00019842    -2.1956e-04
 1144.000 0.00016917     7.6647e-05
 1145.000 0.00013956    -8.9183e-05
 1146.000 0.00011768     3.2647e-04
 1147.000 0.00023591    -3.7602e-04
 1148.000 0.00018562     1.6649e-04
 1149.000 0.00017761    -3.6271e-05
 1150.000 0.00016098    -7.3129e-05
 1151.000 0.00011824     1.7213e-04
 1152.000 0.00015147    -1.5955e-04
 1153.000 0.00012600     1.1389e-04
 1154.000 0.00014769    -1.3045e-05
 1155.000 0.00016098    -1.1211e-04
 1156.000 0.00013541     2.2833e-04
 1157.000 0.00020290    -2.4285e-04
 1158.000 0.00016064     8.4555e-05
 1159.000 0.00014816     8.3306e-05
 1160.000 0.00018976    -9.3300e-05
 1161.000 0.00017764    -3.2428e-05
 1162.000 0.00013046     1.2650e-05
 1163.000 0.00011435     1.6825e-04
 1164.000 0.00016845    -2.6438e-04
 1165.000 0.00011424     2.3940e-04
 1166.000 0.00015586    -1.1823e-04
 1167.000 0.00015219    -3.8229e-05
 1168.000 0.00013037     1.6224e-04
