																												Custom Scientific,BS1				Custom Scientific, BS4				Newport AR.14		Melles Griot BBDS		Melles Griot single layer MGF2		Optimax XBBAR	
FSS99_106_45		FSS99_500_0		NaHG		Ag1		Aluminum		X1_Silver		Gold		Bare Gold		AR_Vis		AR		ARIR		Cold Stop		DM Window		ALPAO		TT-LGS,refl		TT-LGS,trans		WFS,trans		WFS, refl				high reflectivity		AR coating		AR coating	
Wvl. (um)       Refl. (%)		Wvl. (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (μm)	Refl (%)	Wvl (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (μ)	Refl (%)	Wvl (μm)	Trans %	Wvl (um)	Trans (%)	Wvl (um)	Trans (%)	Wvl (um)	Trans (%)	Wv (μm)	Trans %	Wv (μm)	Refl %	Wvl 	Refl	Wvl	Trans	Wvl	Trans	Wvl	Refl	Wvl	Trans	wvl	refl	wvl	trans	wvl	trans
																																											
1	99.2373	0.957977	97.9588	0.81	98.9418	2.3985	98.729	2.000	97.8	0.503612	97.7895	0.819048	96.8153	4.387	98.94			0.940	98.50	1.400	99.70	1.6	95.00	0.704672	98.599	1.11875	97.877	0.552959	99.706	0.552959	0.294	0.49864	16.986	0.49864	83.014							1.054839	97.273
1.025	99.2289	0.972962	97.7113	0.863284	98.7302	2.5	98.759	3.000	98.0	0.50736	97.7544	0.866667	97.1338	5.532	98.944			0.960	98.42	1.450	99.70	1.65	95.00	0.719884	98.630	1.165625	98.014	0.591199	99.706	0.591199	0.294	0.501236	44.976	0.501236	55.024							1.069355	97.01
1.05	99.2205	0.985216	97.5876	0.919104	98.4127			4.000	98.2	0.511112	97.7895	0.909524	97.4522	7.68	98.944			0.980	98.34	1.500	99.70	1.7	95.00	0.741292	98.764	1.185156	98.082	0.594385	92.941	0.594385	7.059	0.501236	68.66	0.501236	31.34								
1.075	99.2072	0.998822	97.5876	0.98	98.2011			5.000	98.4	0.516116	97.8596	0.957143	97.7707	9.92	98.944			1.000	98.27	1.550	99.70	1.75	95.00	0.78101	98.982	1.192969	97.89	0.600759	97.941	0.600759	2.059	0.509023	59.569	0.509023	40.431								
1.1	99.179			1.03836	97.5661			6.000	98.5	0.519864	97.8246	1.00476	97.7707					1.020	98.20	1.600	99.70	1.8	95.00	0.820602	99.096	1.267187	98.055	0.603945	100	0.603945	0	0.511619	42.823	0.511619	57.177								
1.125	99.1508			1.0891	97.1429			7.000	98.6	0.522991	97.8596	1.05238	98.0892					1.040	98.13	1.650	99.70	1.85	95.00	0.838887	99.158	1.333594	98.205	0.610319	98.529	0.610319	1.471	0.511619	27.512	0.511619	72.488								
1.15	99.1361			1.15	96.7196			8.000	98.7	0.527993	97.8947	1.09524	98.0892					1.060	98.08	1.700	99.70	1.9	95.00	0.872296	99.179	1.392187	98.315	0.616692	99.706	0.616692	0.294	0.514215	13.636	0.514215	86.364								
1.175	99.1267			1.19821	96.4021			9.000	98.7	0.534243	97.8947	1.14286	98.0892					1.080	98.03	1.750	99.70	1.95	95.00	0.948092	99.116	1.4625	98.425	0.619879	99.118	0.619879	0.882	0.524598	4.306	0.524598	95.694								
1.2	99.1146			1.2591	96.1905			10.000	98.7	0.540493	97.8947	1.19048	98.4076					1.100	98.00	1.800	99.70	2	95.00	1.039025	99.022	1.544531	98.548	0.642185	6.765	0.642185	93.235	0.52979	8.134	0.52979	91.866								
1.225	99.0909			1.33015	96.0847			15.000	98.9	0.546743	97.8947	1.2381	98.4076					1.120	97.97	1.850	99.70	2.05	95.00	1.154351	99.022	1.626562	98.644	0.654932	5	0.654932	95	0.532386	14.593	0.532386	85.407								
1.25	99.0671			1.39104	96.0847			20.000	99.0	0.552993	97.8947	1.28571	98.4076					1.140	97.96	1.900	99.70	2.1	95.00	1.254502	99.021	1.708594	98.753	0.667678	7.059	0.667678	92.941	0.534982	24.641	0.534982	75.359								
1.275	99.044			1.4697	96.4021			30.000	99.2	0.559243	97.8947	1.33333	98.4076					1.160	97.95	1.950	99.70	2.15	95.00	1.366742	98.979	1.790625	98.822	0.680425	4.706	0.680425	95.294	0.534982	45.933	0.534982	54.067								
1.3	99.024			1.52552	96.5079					0.565493	97.8947	1.38095	98.4076					1.180	97.96	2.000	99.70	2.2	95.00	1.466868	98.958	1.841406	98.89	0.696358	6.471	0.696358	93.529	0.534982	63.397	0.534982	36.603								
1.325	99.0039			1.5991	96.8254					0.571118	97.8947	1.42857	98.4076					1.200	97.97	2.050	99.70	2.25	95.00	1.536671	98.957	1.849219	98.616	0.712291	4.706	0.712291	95.294	0.534982	70.096	0.534982	29.904								
1.35	98.9681			1.66761	97.1429					0.577368	97.8947	1.47619	98.4076					1.220	97.99	2.100	99.70	2.3	95.00	1.606523	98.998	1.849219	98.904	0.731411	5.88200000000001	0.731411	94.118	0.537577	83.254	0.537577	16.746								
1.375	98.9285			1.75134	97.2487					0.583618	97.8947	1.52381	98.4076					1.240	98.02	2.150	99.70	2.35	95.00	1.682483	99.071	1.857031	98.918	0.750531	4.706	0.750531	95.294	0.542769	66.507	0.542769	33.493								
1.4	98.8889			1.82493	97.672					0.589868	97.8947	1.57143	98.4076					1.260	98.06	2.200	99.70	2.4	95.00	1.791928	99.226	1.864844	98.644	0.772838	6.176	0.772838	93.824	0.542769	58.373	0.542769	41.627								
1.425	98.8543			1.90358	97.7778					0.596118	97.8947	1.61905	98.7261					1.280	98.10	2.250	99.70	2.45	95.00	1.904407	99.381	1.86875	98.918	0.795144	4.706	0.795144	95.294	0.545365	49.043	0.545365	50.957								
1.45	98.8208			1.97209	97.8836					0.602368	97.8947	1.66667	98.7261					1.300	98.14	2.300	99.70	2.5	95.00	1.983377	99.432	1.86875	99.096	0.823824	5.58799999999999	0.823824	94.412	0.545365	38.278	0.545365	61.722								
1.475	98.7874			1.99746	97.9894					0.608616	97.8596	1.71429	98.7261					1.320	98.19	2.350	99.70			2.022831	99.432	1.880469	98.918	0.84613	5	0.84613	95	0.553152	26.316	0.553152	73.684								
1.5	98.7521									0.614864	97.8246	1.7619	98.7261					1.340	98.25	2.400	99.70			2.095605	99.380	1.892187	99.082	0.86525	5	0.86525	95	0.555748	31.579	0.555748	68.421								
1.525	98.7167									0.620489	97.8246	1.80952	98.7261					1.360	98.30	2.450	99.70			2.18038	99.213	1.896093	98.836	0.88437	4.706	0.88437	95.294	0.555748	36.842	0.555748	63.158								
1.55	98.6734									0.626739	97.8246	1.85714	98.7261					1.380	98.36	2.500	99.70			2.243861	99.005	1.9	99.082	0.906677	7.941	0.906677	92.059	0.558344	54.067	0.558344	45.933								
1.575	98.6076									0.632987	97.7895	1.90476	98.7261					1.400	98.43	2.550	99.70			2.331394	98.611	1.907812	98.795	0.909863	17.941	0.909863	82.059	0.560939	64.833	0.560939	35.167								
1.6	98.5418									0.63861	97.7544	1.95238	98.7261					1.420	98.49	2.600	99.70			2.412744	98.123	1.915625	98.945	0.925797	94.412	0.925797	5.588	0.563535	50.239	0.563535	49.761								
1.625	98.4965									0.64486	97.7544	2	98.7261					1.440	98.55	2.650	99.70			2.472888	97.666	1.919531	98.877	0.938543	55.882	0.938543	44.118	0.566131	41.388	0.566131	58.612								
