#0.9-5.6um (900-5600nm) sky emission above Mauna Kea
#for 1.6mm H2O, 1.5 airmasses
#resolution is 0.20nm (0.00020um)

#     nm             ph/sec/arcsec2/nm/m2

     956.9401      11.305761
     957.0399      18.540674
     957.1400       2.428893
     957.2401       2.915681
     957.3400       2.617722
     957.4401       2.697397
     957.5400       2.915410
     957.6400       3.011761
     957.7401       3.004840
     957.8400       2.924484
     957.9401       2.813961
     958.0399       2.985561
     958.1400       2.938751
     958.2401       1.971640
     958.3400       2.068872
     958.4401       2.409988
     958.5399       2.983954
     958.6400       2.971871
     958.7401       2.951391
     958.8400       2.858757
     958.9401       2.814910
     959.0399       2.869354
     959.1400       1.935477
     959.2401       2.008978
     959.3400       2.559869
     959.4401       2.435424
     959.5399       2.414460
     959.6400       2.779528
     959.7401       2.650540
     959.8400       2.957947
     959.9401       2.841762
     960.0400       2.444936
     960.1400       2.527185
     960.2401       2.917833
     960.3400       2.836664
     960.4401       2.965832
     960.5399       2.983288
     960.6400       2.902451
     960.7401       2.160821
     960.8400       2.508432
     960.9401       2.895484
     961.0399       8.823370
     961.1400       2.943707
     961.2401       2.668568
     961.3400       2.905378
     961.4401       3.000936
     961.5399       2.990095
     961.6400       2.890575
     961.7401       2.576029
     961.8400       2.735454
     961.9401       2.998277
     962.0399       2.736875
     962.1400       2.890190
     962.2401       2.707823
     962.3400      10.141126
     962.4399       5.238856
     962.5400       2.459913
     962.6400       2.964609
     962.7401       2.798491
     962.8400       2.525026
     962.9401       2.570924
     963.0399       2.916295
     963.1400       2.853137
     963.2401       2.963435
     963.3400       2.986268
     963.4401       3.000534
     963.5399       2.992907
     963.6400       2.967628
     963.7401       2.969271
     963.8400       2.518041
     963.9401       2.379368
     964.0399       2.180615
     964.1400       2.939797
     964.2401       2.831279
     964.3400       2.682837
     964.4401       2.985760
     964.5399       2.752056
     964.6400       2.904631
     964.7401       2.532012
     964.8400       2.211106
     964.9399       2.641406
     965.0400       2.964633
     965.1400       2.857650
     965.2401       2.971209
     965.3400       2.956449
     965.4401       2.974804
     965.5399       2.939348
     965.6400       3.168600
     965.7401       2.835630
     965.8400       3.129725
     965.9401       2.895303
     966.0399       2.836205
     966.1400       4.352756
     966.2401       3.141458
     966.3400       2.664384
     966.4401       2.628141
     966.5399       3.203743
     966.6400       2.884417
     966.7401       2.631255
     966.8400       2.965478
     966.9401       2.808913
     967.0399       3.313260
     967.1400      11.638424
     967.2401       2.736290
     967.3400       2.526006
     967.4399       2.977593
     967.5400       2.982852
     967.6400       4.855424
     967.7401       4.551641
     967.8400       2.982867
     967.9401       2.984969
     968.0399       2.983608
     968.1400       2.979093
     968.2401       4.843231
     968.3400       4.619461
     968.4401      12.381544
     968.5399      12.383062
     968.6400       2.965827
     968.7401       2.975630
     968.8400       2.946999
     968.9401       2.937865
     969.0399       2.969644
